u,v,key,osmid,highway,name,oneway,reversed,length,lanes,bridge,maxspeed,tunnel,service,access,width,geometry
81804688,11958083279,0,25953597,service,Ngõ 167 Phố Tây Sơn,False,True,11.29011210791795,,,,,,,,"LINESTRING (105.8251515 21.010617, 105.825249 21.010572)"
81804688,10131967160,0,28103241,primary,Phố Tây Sơn,True,False,18.371541774910362,2,,,,,,,"LINESTRING (105.8251515 21.010617, 105.8252306 21.0107648)"
81805393,10116028532,0,9964551,primary_link,,True,False,26.335281806344838,2,,,,,,,"LINESTRING (105.82426 21.0088234, 105.8245019 21.0088948)"
81805393,11950483412,0,684766067,primary,Phố Tây Sơn,True,False,14.781613106897831,3,,,,,,,"LINESTRING (105.82426 21.0088234, 105.8243268 21.0089408)"
91718187,8173724029,0,178098601,primary,Cầu vượt Ngã Tư Sở,True,False,14.606974419711358,2,,,,,,,"LINESTRING (105.8220087 21.0045074, 105.8220934 21.0046123)"
91718189,442594924,0,35978173,primary,Cầu vượt Ngã Tư Sở,True,False,39.75521568115067,2,yes,,,,,,"LINESTRING (105.821264 21.0038464, 105.8215542 21.0040797)"
98024382,8209597664,0,38095070,primary,Hầm chui Kim Liên,True,False,17.38389662021162,2,,60,,,,,"LINESTRING (105.8380906 21.0096135, 105.8382126 21.0095064)"
98024382,1755146882,0,136556857,primary,Phố Xã Đàn,True,False,17.913213344599388,2,,60,,,,,"LINESTRING (105.8380906 21.0096135, 105.8381595 21.0094658)"
98024383,98024384,0,38095070,primary,Hầm chui Kim Liên,True,False,49.451687255261156,2,,60,,,,,"LINESTRING (105.8387044 21.0089992, 105.8390501 21.0086932)"
98024384,98024386,0,38095070,primary,Hầm chui Kim Liên,True,False,39.363691926786615,2,,60,,,,,"LINESTRING (105.8390501 21.0086932, 105.839323 21.0084474)"
98024386,1755146823,0,38095070,primary,Hầm chui Kim Liên,True,False,36.803374962618946,2,,60,,,,,"LINESTRING (105.839323 21.0084474, 105.8396046 21.0082463)"
98024387,7771967109,0,37862082,primary,Hầm chui Kim Liên,True,False,46.52362909916156,2,,60,yes,,,,"LINESTRING (105.8406131 21.0077543, 105.8410507 21.0076639)"
98024920,8130257782,0,683855299,service,Ngõ 6 Phạm Ngọc Thạch,False,True,13.381280542400013,,,,,alley,,,"LINESTRING (105.8367231 21.0107386, 105.8366326 21.0108243)"
98024920,6685052836,0,711085009,secondary,Phố Phạm Ngọc Thạch,True,False,16.663334031103307,3,,,,,,,"LINESTRING (105.8367231 21.0107386, 105.8368691 21.0108009)"
98024920,1497961292,0,947077275,secondary,Phố Phạm Ngọc Thạch,False,True,23.730227303791736,4,,,,,,,"LINESTRING (105.8367231 21.0107386, 105.8365444 21.0106055)"
98025725,1497961284,0,29313247,tertiary,Phố Đào Duy Anh,False,False,19.12993573822852,2,,50,,,,,"LINESTRING (105.8389618 21.0080247, 105.8391407 21.0079834)"
98025725,6601256789,0,29313247,tertiary,Phố Đào Duy Anh,False,True,12.123556753092744,2,,50,,,,,"LINESTRING (105.8389618 21.0080247, 105.8388719 21.0080943)"
98025725,11291069042,0,601867552,service,,False,False,18.834479560682897,,,,,,,,"LINESTRING (105.8389618 21.0080247, 105.8390776 21.0081551)"
98025725,10131967267,0,719345489,service,,False,True,7.365956542124168,,,,,,,,"LINESTRING (105.8389618 21.0080247, 105.8389402 21.0079616)"
98025729,6601256793,0,25953552,tertiary,Phố Hoàng Tích Trí,False,False,10.196826314109735,2,,,,,,,"LINESTRING (105.837589 21.009484, 105.8376584 21.0095489)"
98025729,6601256791,0,29313247,tertiary,Phố Đào Duy Anh,False,False,10.006660721202804,2,,50,,,,,"LINESTRING (105.837589 21.009484, 105.8376464 21.0094117)"
98025729,6601256792,0,156006452,tertiary,Phố Đào Duy Anh,False,False,9.238576425439618,2,,50,,,,,"LINESTRING (105.837589 21.009484, 105.8375337 21.0095491)"
98025729,10131967270,0,1215943718,tertiary,Phố Hoàng Tích Trí,True,False,11.233071241771972,,,,,,,,"LINESTRING (105.837589 21.009484, 105.8375082 21.0094168)"
98025734,8259963784,0,156006452,tertiary,Phố Đào Duy Anh,False,False,20.17826418974735,2,,50,,,,,"LINESTRING (105.8367617 21.0103746, 105.8366341 21.0105115)"
