id,u,v,length,name,geometry
0,0,3080,11.29011210791795,Ngõ 167 Phố Tây Sơn,"LINESTRING (105.8251515 21.010617, 105.825249 21.010572)"
1,0,2258,18.37154177491036,Phố Tây Sơn,"LINESTRING (105.8251515 21.010617, 105.8252306 21.0107648)"
2,1,1774,26.33528180634484,,"LINESTRING (105.82426 21.0088234, 105.8245019 21.0088948)"
3,1,2974,14.781613106897831,Phố Tây Sơn,"LINESTRING (105.82426 21.0088234, 105.8243268 21.0089408)"
4,2,1166,14.606974419711358,Cầu vượt Ngã Tư Sở,"LINESTRING (105.8220087 21.0045074, 105.8220934 21.0046123)"
5,3,59,39.75521568115067,Cầu vượt Ngã Tư Sở,"LINESTRING (105.821264 21.0038464, 105.8215542 21.0040797)"
6,4,1170,17.38389662021162,Hầm chui Kim Liên,"LINESTRING (105.8380906 21.0096135, 105.8382126 21.0095064)"
7,4,169,17.913213344599388,Phố Xã Đàn,"LINESTRING (105.8380906 21.0096135, 105.8381595 21.0094658)"
8,5,6,49.45168725526116,Hầm chui Kim Liên,"LINESTRING (105.8387044 21.0089992, 105.8390501 21.0086932)"
9,6,7,39.363691926786615,Hầm chui Kim Liên,"LINESTRING (105.8390501 21.0086932, 105.839323 21.0084474)"
10,7,168,36.80337496261895,Hầm chui Kim Liên,"LINESTRING (105.839323 21.0084474, 105.8396046 21.0082463)"
11,8,1023,46.52362909916156,Hầm chui Kim Liên,"LINESTRING (105.8406131 21.0077543, 105.8410507 21.0076639)"
12,9,1145,13.381280542400011,Ngõ 6 Phạm Ngọc Thạch,"LINESTRING (105.8367231 21.0107386, 105.8366326 21.0108243)"
13,9,861,16.663334031103307,Phố Phạm Ngọc Thạch,"LINESTRING (105.8367231 21.0107386, 105.8368691 21.0108009)"
14,9,128,23.730227303791736,Phố Phạm Ngọc Thạch,"LINESTRING (105.8367231 21.0107386, 105.8365444 21.0106055)"
15,10,126,19.12993573822852,Phố Đào Duy Anh,"LINESTRING (105.8389618 21.0080247, 105.8391407 21.0079834)"
16,10,768,12.123556753092744,Phố Đào Duy Anh,"LINESTRING (105.8389618 21.0080247, 105.8388719 21.0080943)"
17,10,2737,18.834479560682897,,"LINESTRING (105.8389618 21.0080247, 105.8390776 21.0081551)"
18,10,2347,7.365956542124168,,"LINESTRING (105.8389618 21.0080247, 105.8389402 21.0079616)"
19,11,771,10.196826314109735,Phố Hoàng Tích Trí,"LINESTRING (105.837589 21.009484, 105.8376584 21.0095489)"
20,11,769,10.006660721202804,Phố Đào Duy Anh,"LINESTRING (105.837589 21.009484, 105.8376464 21.0094117)"
21,11,770,9.238576425439618,Phố Đào Duy Anh,"LINESTRING (105.837589 21.009484, 105.8375337 21.0095491)"
22,11,2350,11.233071241771972,Phố Hoàng Tích Trí,"LINESTRING (105.837589 21.009484, 105.8375082 21.0094168)"
23,12,1178,20.17826418974735,Phố Đào Duy Anh,"LINESTRING (105.8367617 21.0103746, 105.8366341 21.0105115)"
24,12,669,21.21675539132105,Phố Đào Duy Anh,"LINESTRING (105.8367617 21.0103746, 105.8368958 21.0102306)"
25,12,2299,6.488944566729272,,"LINESTRING (105.8367617 21.0103746, 105.8368109 21.0104106)"
26,12,2292,8.68688142512964,,"LINESTRING (105.8367617 21.0103746, 105.8367047 21.0103174)"
27,13,1203,10.917890835414488,Ngõ 21 Phạm Ngọc Thạch,"LINESTRING (105.835844 21.0100165, 105.8359098 21.0099399)"
28,13,848,60.63189284946897,Phố Phạm Ngọc Thạch,"LINESTRING (105.835844 21.0100165, 105.835409 21.0096526)"
29,13,3442,15.804721315501215,Phố Phạm Ngọc Thạch,"LINESTRING (105.835844 21.0100165, 105.8359808 21.0100789)"
30,14,1705,48.26999621865257,Phố Phạm Ngọc Thạch,"LINESTRING (105.8316381 21.0064882, 105.8319964 21.0067649)"
31,14,817,15.91602842627766,,"LINESTRING (105.8316381 21.0064882, 105.8315376 21.0065963)"
32,15,16,6.825683727037562,Phố Đông Tác,"LINESTRING (105.8322644 21.0058426, 105.8321987 21.0058451)"
33,15,1849,9.083415916206937,Phố Đông Tác,"LINESTRING (105.8322644 21.0058426, 105.8323519 21.0058434)"
34,15,1844,13.170228048630443,Ngõ 43 Đông Tác,"LINESTRING (105.8322644 21.0058426, 105.8323492 21.0057545)"
35,16,1843,9.174334991997464,,"LINESTRING (105.8321987 21.0058451, 105.8321743 21.0057658)"
36,16,17,87.23327382265985,Phố Đông Tác,"LINESTRING (105.8321987 21.0058451, 105.8313959 21.006077)"
37,16,15,6.825683727037562,Phố Đông Tác,"LINESTRING (105.8321987 21.0058451, 105.8322644 21.0058426)"
38,17,16,87.23327382265985,Phố Đông Tác,"LINESTRING (105.8313959 21.006077, 105.8321987 21.0058451)"
39,17,442,6.27962040519753,Phố Đông Tác,"LINESTRING (105.8313959 21.006077, 105.8313438 21.0061057)"
40,17,1215,11.144371262943922,,"LINESTRING (105.8313959 21.006077, 105.831434 21.0061707)"
41,17,1837,10.402635725322984,,"LINESTRING (105.8313959 21.006077, 105.8313613 21.0059892)"
42,18,2154,7.783908752290833,,"LINESTRING (105.830539 21.0046831, 105.830612 21.0046671)"
43,18,823,30.097949098957265,Phố Tôn Thất Tùng,"LINESTRING (105.830539 21.0046831, 105.83063 21.0049401)"
44,18,193,30.75370052637037,Phố Tôn Thất Tùng,"LINESTRING (105.830539 21.0046831, 105.8304416 21.0044219)"
45,19,664,19.667904998457747,Ngõ 4 Phương Mai,"LINESTRING (105.8387295 21.0063463, 105.8387531 21.0065218)"
46,19,657,12.989800511647012,Ngõ 4 Phương Mai,"LINESTRING (105.8387295 21.0063463, 105.8387147 21.0062303)"
47,19,158,79.81270406071296,Ngõ 38 Phương Mai,"LINESTRING (105.8387295 21.0063463, 105.8379659 21.0064302)"
48,20,1913,4.383461561267988,,"LINESTRING (105.8344107 21.0029956, 105.8344007 21.0030339)"
49,20,143,83.34593863412576,Phố Phương Mai,"LINESTRING (105.8344107 21.0029956, 105.8351851 21.0031935)"
50,20,406,25.636186470293367,Ngõ 167 Phố Phương Mai,"LINESTRING (105.8344107 21.0029956, 105.8344746 21.0027729)"
51,21,143,92.79432016145095,Phố Phương Mai,"LINESTRING (105.8360473 21.0034138, 105.8351851 21.0031935)"
52,21,706,19.498310113742107,Phố Lương Định Của,"LINESTRING (105.8360473 21.0034138, 105.8360592 21.0032388)"
53,21,1977,6.847675030929753,Phố Phương Mai,"LINESTRING (105.8360473 21.0034138, 105.836111 21.0034298)"
54,21,1916,9.575707192132402,Phố Lương Định Của,"LINESTRING (105.8360473 21.0034138, 105.8360231 21.0034969)"
55,22,1937,4.72886461932939,Ngõ 8 Phương Mai,"LINESTRING (105.8378106 21.0038709, 105.8377985 21.0039119)"
56,22,331,55.10331116746894,Phố Phương Mai,"LINESTRING (105.8378106 21.0038709, 105.8383215 21.0040054)"
57,22,309,32.6781472862689,Phố Phương Mai,"LINESTRING (105.8378106 21.0038709, 105.8375076 21.0037912)"
