osmid,id,y,x,street_count,highway,railway,ref,geometry
81804688,0,21.010617,105.8251515,3,,,,POINT (105.8251515 21.010617)
81805393,1,21.0088234,105.82426,3,,,,POINT (105.82426 21.0088234)
91718187,2,21.0045074,105.8220087,2,,,,POINT (105.8220087 21.0045074)
91718189,3,21.0038464,105.821264,2,,,,POINT (105.821264 21.0038464)
98024382,4,21.0096135,105.8380906,3,,,,POINT (105.8380906 21.0096135)
98024383,5,21.0089992,105.8387044,2,,,,POINT (105.8387044 21.0089992)
98024384,6,21.0086932,105.8390501,2,,,,POINT (105.8390501 21.0086932)
98024386,7,21.0084474,105.839323,2,,,,POINT (105.839323 21.0084474)
98024387,8,21.0077543,105.8406131,2,,,,POINT (105.8406131 21.0077543)
98024920,9,21.0107386,105.8367231,4,,,,POINT (105.8367231 21.0107386)
98025725,10,21.0080247,105.8389618,4,,,,POINT (105.8389618 21.0080247)
98025729,11,21.009484,105.837589,4,,,,POINT (105.837589 21.009484)
98025734,12,21.0103746,105.8367617,4,crossing,,,POINT (105.8367617 21.0103746)
98025738,13,21.0100165,105.835844,4,,,,POINT (105.835844 21.0100165)
98026475,14,21.0064882,105.8316381,3,,,,POINT (105.8316381 21.0064882)
98027287,15,21.0058426,105.8322644,3,,,,POINT (105.8322644 21.0058426)
98027289,16,21.0058451,105.8321987,3,,,,POINT (105.8321987 21.0058451)
98027291,17,21.006077,105.8313959,4,traffic_signals,,,POINT (105.8313959 21.006077)
98027700,18,21.0046831,105.830539,3,,,,POINT (105.830539 21.0046831)
104780979,19,21.0063463,105.8387295,3,,,,POINT (105.8387295 21.0063463)
104782499,20,21.0029956,105.8344107,3,,,,POINT (105.8344107 21.0029956)
104782500,21,21.0034138,105.8360473,4,traffic_signals,,,POINT (105.8360473 21.0034138)
104782501,22,21.0038709,105.8378106,3,,,,POINT (105.8378106 21.0038709)
104782503,23,21.0040554,105.8385279,3,,,,POINT (105.8385279 21.0040554)
104782505,24,21.0041922,105.8411482,2,,level_crossing,,POINT (105.8411482 21.0041922)
104783040,25,21.0015565,105.8360583,3,,,,POINT (105.8360583 21.0015565)
104783042,26,21.0061472,105.8352445,3,,,,POINT (105.8352445 21.0061472)
104783043,27,21.0064226,105.8356204,3,,,,POINT (105.8356204 21.0064226)
104783045,28,21.0083505,105.8338348,3,,,,POINT (105.8338348 21.0083505)
104839740,29,21.0110954,105.8307755,3,,,,POINT (105.8307755 21.0110954)
104839741,30,21.0113157,105.831076,3,,,,POINT (105.831076 21.0113157)
283128685,31,21.0058788,105.8325348,3,,,,POINT (105.8325348 21.0058788)
283136365,32,21.0128613,105.8344207,1,,,,POINT (105.8344207 21.0128613)
283136366,33,21.0135226,105.8338457,2,,,,POINT (105.8338457 21.0135226)
283136369,34,21.0128263,105.8329637,3,,,,POINT (105.8329637 21.0128263)
283136429,35,21.0126973,105.8324889,4,,,,POINT (105.8324889 21.0126973)
283137293,36,21.012374,105.83229,3,,,,POINT (105.83229 21.012374)
283137352,37,21.0105372,105.8329664,3,,,,POINT (105.8329664 21.0105372)
283137360,38,21.0112756,105.8292118,2,,,,POINT (105.8292118 21.0112756)
283137361,39,21.0116755,105.828461,4,,,,POINT (105.828461 21.0116755)
283137460,40,21.010155,105.8275429,2,,,,POINT (105.8275429 21.010155)
283137533,41,21.0111623,105.8277266,3,,,,POINT (105.8277266 21.0111623)
283137534,42,21.0111326,105.8277284,2,,,,POINT (105.8277284 21.0111326)
283137535,43,21.0109952,105.8278042,2,,,,POINT (105.8278042 21.0109952)
283137536,44,21.0109311,105.8278471,2,,,,POINT (105.8278471 21.0109311)
283137537,45,21.0108629,105.8279393,3,,,,POINT (105.8279393 21.0108629)
283137739,46,21.0094598,105.8277324,2,,,,POINT (105.8277324 21.0094598)
283137740,47,21.0098562,105.8268471,3,,,,POINT (105.8268471 21.0098562)
283137741,48,21.0102741,105.8259306,2,,,,POINT (105.8259306 21.0102741)
283137742,49,21.0103607,105.8257409,3,,,,POINT (105.8257409 21.0103607)
283137982,50,21.011869,105.8317114,3,,,,POINT (105.8317114 21.011869)
283138163,51,21.006011,105.8228783,2,,,,POINT (105.8228783 21.006011)
319490596,52,21.0075831,105.8330153,3,,,,POINT (105.8330153 21.0075831)
319490598,53,21.008788,105.8316582,3,,,,POINT (105.8316582 21.008788)
319490620,54,21.0096613,105.8331474,3,,,,POINT (105.8331474 21.0096613)
324286196,55,21.0072345,105.8348649,4,,,,POINT (105.8348649 21.0072345)
420524322,56,21.0035042,105.8208098,2,,,,POINT (105.8208098 21.0035042)
428673758,57,21.0109782,105.8370646,4,,,,POINT (105.8370646 21.0109782)
436170722,58,21.0041897,105.8412431,4,,,,POINT (105.8412431 21.0041897)
442594924,59,21.0040797,105.8215542,2,,,,POINT (105.8215542 21.0040797)
443766296,60,21.007575,105.8412097,2,,level_crossing,,POINT (105.8412097 21.007575)
443789363,61,21.0005633,105.8409738,3,,,,POINT (105.8409738 21.0005633)
444224890,62,21.0069596,105.8322406,2,,,,POINT (105.8322406 21.0069596)
444232546,63,21.0058685,105.8338321,2,,,,POINT (105.8338321 21.0058685)
444232548,64,21.0066906,105.8342326,3,,,,POINT (105.8342326 21.0066906)
444232549,65,21.0063772,105.8338469,2,,,,POINT (105.8338469 21.0063772)
444232550,66,21.0063422,105.8337718,2,,,,POINT (105.8337718 21.0063422)
444232551,67,21.0063287,105.833654,2,,,,POINT (105.833654 21.0063287)
444232552,68,21.0065128,105.8334,2,,,,POINT (105.8334 21.0065128)
444232553,69,21.0065074,105.8343504,3,,,,POINT (105.8343504 21.0065074)
444232554,70,21.0068728,105.8340624,3,,,,POINT (105.8340624 21.0068728)
444232555,71,21.0065027,105.8335969,1,,,,POINT (105.8335969 21.0065027)
444232557,72,21.006993,105.8340084,2,,,,POINT (105.8340084 21.006993)
444232558,73,21.0069184,105.8340681,2,,,,POINT (105.8340681 21.0069184)
444232559,74,21.007695,105.8344419,3,,,,POINT (105.8344419 21.007695)
444232560,75,21.0071861,105.8338348,2,,,,POINT (105.8338348 21.0071861)
1314209678,76,21.0074656,105.8286267,3,,,,POINT (105.8286267 21.0074656)
1314209691,77,21.0091472,105.8248463,3,,,,POINT (105.8248463 21.0091472)
1314209698,78,21.0063287,105.8311553,4,,,,POINT (105.8311553 21.0063287)
1314209711,79,21.0080615,105.8272568,2,,,,POINT (105.8272568 21.0080615)
1314209712,80,21.0065914,105.8306082,3,,,,POINT (105.8306082 21.0065914)
1494031788,81,21.0062207,105.8375751,3,,,,POINT (105.8375751 21.0062207)
1494031790,82,21.0064716,105.8375874,3,,,,POINT (105.8375874 21.0064716)
1494034246,83,21.0016749,105.8411606,2,,,,POINT (105.8411606 21.0016749)
1494034283,84,21.0079136,105.835249,2,,,,POINT (105.835249 21.0079136)
1494035414,85,21.0046693,105.8267871,1,,,,POINT (105.8267871 21.0046693)
1494035416,86,21.0052113,105.8255933,3,,,,POINT (105.8255933 21.0052113)
1494035420,87,21.0061365,105.8235974,2,,,,POINT (105.8235974 21.0061365)
1494035422,88,21.0062834,105.8234419,2,,,,POINT (105.8234419 21.0062834)
1494035423,89,21.0063568,105.8261513,4,,,,POINT (105.8261513 21.0063568)
1494035427,90,21.0067615,105.8231971,3,,,,POINT (105.8231971 21.0067615)
1494041345,91,21.0030372,105.8209319,3,,,,POINT (105.8209319 21.0030372)
1494041346,92,21.0031275,105.8205363,2,traffic_signals,,,POINT (105.8205363 21.0031275)
1494041348,93,21.0031869,105.8207108,2,,,,POINT (105.8207108 21.0031869)
1494041350,94,21.0033001,105.8207165,2,,,,POINT (105.8207165 21.0033001)
1494041352,95,21.0033732,105.8207826,3,,,,POINT (105.8207826 21.0033732)
1494041360,96,21.0037795,105.8212909,2,,,,POINT (105.8212909 21.0037795)
1494041361,97,21.0039796,105.8215448,3,,,,POINT (105.8215448 21.0039796)
1494041363,98,21.0041975,105.8218166,2,,,,POINT (105.8218166 21.0041975)
1494041364,99,21.0042935,105.8219245,2,,,,POINT (105.8219245 21.0042935)
1494041367,100,21.0044497,105.8220767,3,,,,POINT (105.8220767 21.0044497)
1494041372,101,21.0047302,105.8222675,2,,,,POINT (105.8222675 21.0047302)
1494041374,102,21.0048548,105.8223217,3,,,,POINT (105.8223217 21.0048548)
1495020912,103,21.0092908,105.8244986,4,,,,POINT (105.8244986 21.0092908)
1495022752,104,21.007045,105.8413254,3,,,,POINT (105.8413254 21.007045)
1495022753,105,21.0072019,105.8411998,2,,level_crossing,,POINT (105.8411998 21.0072019)
1495022754,106,21.0073795,105.841021,2,,,,POINT (105.841021 21.0073795)
1495022756,107,21.0076693,105.8407052,3,,,,POINT (105.8407052 21.0076693)
1495022976,108,20.9994782,105.8358265,2,,,,POINT (105.8358265 20.9994782)
1495022977,109,20.9997351,105.8356572,2,,,,POINT (105.8356572 20.9997351)
1495022978,110,20.9999646,105.8355199,2,,,,POINT (105.8355199 20.9999646)
1495022979,111,21.0002407,105.8353638,2,,,,POINT (105.8353638 21.0002407)
1495022981,112,21.0006907,105.8351564,2,,,,POINT (105.8351564 21.0006907)
1495022983,113,21.0011285,105.8348897,2,,,,POINT (105.8348897 21.0011285)
1495022984,114,21.0012407,105.834804,4,,,,POINT (105.834804 21.0012407)
1495022987,115,21.0013057,105.8351508,2,,,,POINT (105.8351508 21.0013057)
1495022988,116,21.0015057,105.8359904,3,,,,POINT (105.8359904 21.0015057)
1495022992,117,21.0015257,105.837473,2,,,,POINT (105.837473 21.0015257)
1495022993,118,21.0015498,105.8362421,3,,,,POINT (105.8362421 21.0015498)
1495022995,119,21.0015521,105.8372829,2,,,,POINT (105.8372829 21.0015521)
1495023318,120,21.0047385,105.8286033,2,,,,POINT (105.8286033 21.0047385)
1495023320,121,21.0052119,105.8275868,3,,,,POINT (105.8275868 21.0052119)
1495023340,122,21.0070673,105.8295224,3,,,,POINT (105.8295224 21.0070673)
1497544639,123,21.0121079,105.8261096,2,,,,POINT (105.8261096 21.0121079)
1497961282,124,21.0076004,105.8410389,2,,,,POINT (105.8410389 21.0076004)
1497961283,125,21.0078235,105.8402267,3,,,,POINT (105.8402267 21.0078235)
1497961284,126,21.0079834,105.8391407,2,,,,POINT (105.8391407 21.0079834)
1497961290,127,21.0099262,105.8371762,3,,,,POINT (105.8371762 21.0099262)
1497961292,128,21.0106055,105.8365444,4,,,,POINT (105.8365444 21.0106055)
1497964619,129,21.0108251,105.8369867,4,crossing,,,POINT (105.8369867 21.0108251)
1497969539,130,21.0080304,105.8354258,3,,,,POINT (105.8354258 21.0080304)
1497969541,131,21.0082022,105.8352788,3,,,,POINT (105.8352788 21.0082022)
1497969548,132,21.0083218,105.835173,3,,,,POINT (105.835173 21.0083218)
1497969550,133,21.0083741,105.83625,3,,,,POINT (105.83625 21.0083741)
1497969553,134,21.0085546,105.8360841,4,,,,POINT (105.8360841 21.0085546)
1497969554,135,21.0085787,105.8349456,3,,,,POINT (105.8349456 21.0085787)
1497969556,136,21.009495,105.8352194,3,,,,POINT (105.8352194 21.009495)
1497969787,137,21.0030394,105.8412283,3,,,,POINT (105.8412283 21.0030394)
1497969789,138,21.0044181,105.8340344,3,,,,POINT (105.8340344 21.0044181)
1497969790,139,21.0045946,105.8347557,4,,,,POINT (105.8347557 21.0045946)
1497969791,140,21.00481,105.835639,3,,,,POINT (105.835639 21.00481)
1497969792,141,21.0081797,105.839558,2,,,,POINT (105.839558 21.0081797)
1497969800,142,21.0086192,105.8390015,2,,,,POINT (105.8390015 21.0086192)
1497969864,143,21.0031935,105.8351851,3,,,,POINT (105.8351851 21.0031935)
1497969865,144,21.0034368,105.8333388,1,,,,POINT (105.8333388 21.0034368)
1497969866,145,21.0036744,105.8370455,3,,,,POINT (105.8370455 21.0036744)
1497969867,146,21.0038572,105.8349817,4,,,,POINT (105.8349817 21.0038572)
1497969868,147,21.0039344,105.8369795,2,,,,POINT (105.8369795 21.0039344)
1497969869,148,21.0040786,105.8358462,3,,,,POINT (105.8358462 21.0040786)
1497969870,149,21.0043331,105.8369088,2,,,,POINT (105.8369088 21.0043331)
1497969873,150,21.0049826,105.8367868,2,,,,POINT (105.8367868 21.0049826)
