id,lat,lng,street_count
0,21.010617,105.8251515,3
1,21.0088234,105.82426,3
2,21.0045074,105.8220087,2
3,21.0038464,105.821264,2
4,21.0096135,105.8380906,3
5,21.0089992,105.8387044,2
6,21.0086932,105.8390501,2
7,21.0084474,105.839323,2
8,21.0077543,105.8406131,2
9,21.0107386,105.8367231,4
10,21.0080247,105.8389618,4
11,21.009484,105.837589,4
12,21.0103746,105.8367617,4
13,21.0100165,105.835844,4
14,21.0064882,105.8316381,3
15,21.0058426,105.8322644,3
16,21.0058451,105.8321987,3
17,21.006077,105.8313959,4
18,21.0046831,105.830539,3
19,21.0063463,105.8387295,3
20,21.0029956,105.8344107,3
21,21.0034138,105.8360473,4
22,21.0038709,105.8378106,3
23,21.0040554,105.8385279,3
24,21.0041922,105.8411482,2
25,21.0015565,105.8360583,3
26,21.0061472,105.8352445,3
27,21.0064226,105.8356204,3
28,21.0083505,105.8338348,3
29,21.0110954,105.8307755,3
30,21.0113157,105.831076,3
31,21.0058788,105.8325348,3
32,21.0128613,105.8344207,1
33,21.0135226,105.8338457,2
34,21.0128263,105.8329637,3
35,21.0126973,105.8324889,4
36,21.012374,105.83229,3
37,21.0105372,105.8329664,3
38,21.0112756,105.8292118,2
39,21.0116755,105.828461,4
40,21.010155,105.8275429,2
41,21.0111623,105.8277266,3
42,21.0111326,105.8277284,2
43,21.0109952,105.8278042,2
44,21.0109311,105.8278471,2
45,21.0108629,105.8279393,3
46,21.0094598,105.8277324,2
47,21.0098562,105.8268471,3
48,21.0102741,105.8259306,2
49,21.0103607,105.8257409,3
50,21.011869,105.8317114,3
51,21.006011,105.8228783,2
52,21.0075831,105.8330153,3
53,21.008788,105.8316582,3
54,21.0096613,105.8331474,3
55,21.0072345,105.8348649,4
56,21.0035042,105.8208098,2
57,21.0109782,105.8370646,4
58,21.0041897,105.8412431,4
59,21.0040797,105.8215542,2
60,21.007575,105.8412097,2
61,21.0005633,105.8409738,3
62,21.0069596,105.8322406,2
63,21.0058685,105.8338321,2
64,21.0066906,105.8342326,3
65,21.0063772,105.8338469,2
66,21.0063422,105.8337718,2
67,21.0063287,105.833654,2
68,21.0065128,105.8334,2
69,21.0065074,105.8343504,3
70,21.0068728,105.8340624,3
71,21.0065027,105.8335969,1
72,21.006993,105.8340084,2
73,21.0069184,105.8340681,2
74,21.007695,105.8344419,3
75,21.0071861,105.8338348,2
76,21.0074656,105.8286267,3
77,21.0091472,105.8248463,3
78,21.0063287,105.8311553,4
