id,lat,lng,name
0,21.010617,105.8251515,Phố Tây Sơn
1,21.0088234,105.82426,Phố Tây Sơn
2,21.0045074,105.8220087,Cầu vượt Ngã Tư Sở
3,21.0038464,105.821264,Cầu vượt Ngã Tư Sở
4,21.0096135,105.8380906,Phố Xã Đàn
5,21.0089992,105.8387044,Hầm chui Kim Liên
6,21.0086932,105.8390501,Hầm chui Kim Liên
7,21.0084474,105.839323,Hầm chui Kim Liên
8,21.0077543,105.8406131,Hầm chui Kim Liên
9,21.0107386,105.8367231,Phố Phạm Ngọc Thạch
10,21.0080247,105.8389618,"21.01,105.84"
11,21.009484,105.837589,Phố Hoàng Tích Trí
12,21.0103746,105.8367617,"21.01,105.84"
13,21.0100165,105.835844,Phố Phạm Ngọc Thạch
14,21.0064882,105.8316381,"21.01,105.83"
15,21.0058426,105.8322644,Ngõ 43 Đông Tác
16,21.0058451,105.8321987,Phố Đông Tác
17,21.006077,105.8313959,"21.01,105.83"
18,21.0046831,105.830539,Phố Tôn Thất Tùng
19,21.0063463,105.8387295,Ngõ 38 Phương Mai
20,21.0029956,105.8344107,Ngõ 167 Phố Phương Mai
21,21.0034138,105.8360473,Phố Lương Định Của
22,21.0038709,105.8378106,Phố Phương Mai
23,21.0040554,105.8385279,Phố Phương Mai
24,21.0041922,105.8411482,Phố Phương Mai
25,21.0015565,105.8360583,Ngõ 120 Đường Trường Chinh
26,21.0061472,105.8352445,Phố Lương Định Của
27,21.0064226,105.8356204,Phố Lương Định Của
28,21.0083505,105.8338348,Phố Phạm Ngọc Thạch
29,21.0110954,105.8307755,Phố Đặng Văn Ngữ
30,21.0113157,105.831076,Phố Đặng Văn Ngữ
31,21.0058788,105.8325348,Ngõ 103 Phạm Ngọc Thạch
32,21.0128613,105.8344207,Ngõ 62 Phố Đặng Văn Ngữ
33,21.0135226,105.8338457,Phố Đặng Văn Ngữ
34,21.0128263,105.8329637,Ngõ 6 Đặng Văn Ngữ
35,21.0126973,105.8324889,Phố Đặng Văn Ngữ
36,21.012374,105.83229,Phố Đặng Văn Ngữ
37,21.0105372,105.8329664,Ngõ 4B Phố Đặng Văn Ngữ
38,21.0112756,105.8292118,"21.01,105.83"
39,21.0116755,105.828461,"21.01,105.83"
40,21.010155,105.8275429,Ngõ 119 Hồ Đắc Di
41,21.0111623,105.8277266,Ngách 48/119 Hồ Đắc Di
42,21.0111326,105.8277284,Ngõ 119 Hồ Đắc Di
43,21.0109952,105.8278042,Ngõ 119 Hồ Đắc Di
44,21.0109311,105.8278471,Ngõ 119 Hồ Đắc Di
45,21.0108629,105.8279393,Ngõ 119 Hồ Đắc Di
46,21.0094598,105.8277324,"21.01,105.83"
47,21.0098562,105.8268471,Ngách 167/37 Phố Tây Sơn
48,21.0102741,105.8259306,Ngõ 167 Phố Tây Sơn
49,21.0103607,105.8257409,Ngách 15 / Ngách 25
50,21.011869,105.8317114,Phố Đặng Văn Ngữ
51,21.006011,105.8228783,Phố Tây Sơn
52,21.0075831,105.8330153,Phố Phạm Ngọc Thạch
53,21.008788,105.8316582,Ngõ 4A Phố Đặng Văn Ngữ
54,21.0096613,105.8331474,Ngõ 4A Phố Đặng Văn Ngữ
55,21.0072345,105.8348649,Phố Lương Định Của
56,21.0035042,105.8208098,Cầu vượt Ngã Tư Sở
57,21.0109782,105.8370646,Phố Xã Đàn
58,21.0041897,105.8412431,Phố Phương Mai
59,21.0040797,105.8215542,Cầu vượt Ngã Tư Sở
60,21.007575,105.8412097,Phố Xã Đàn
61,21.0005633,105.8409738,"21.0,105.84"
62,21.0069596,105.8322406,Phố Phạm Ngọc Thạch
63,21.0058685,105.8338321,Phố Đông Tác
64,21.0066906,105.8342326,Ngõ 97 Phạm Ngọc Thạch
65,21.0063772,105.8338469,Ngõ 97 Phạm Ngọc Thạch
66,21.0063422,105.8337718,Ngõ 97 Phạm Ngọc Thạch
67,21.0063287,105.833654,Ngõ 97 Phạm Ngọc Thạch
68,21.0065128,105.8334,Ngõ 97 Phạm Ngọc Thạch
69,21.0065074,105.8343504,"21.01,105.83"
70,21.0068728,105.8340624,Ngách 97/63 Phạm Ngọc Thạch
71,21.0065027,105.8335969,Ngách 97/63 Phạm Ngọc Thạch
72,21.006993,105.8340084,"21.01,105.83"
73,21.0069184,105.8340681,"21.01,105.83"
74,21.007695,105.8344419,Phố Lương Định Của
75,21.0071861,105.8338348,Ngõ 8 Phố Lương Định Của
76,21.0074656,105.8286267,Phố Chùa Bộc
77,21.0091472,105.8248463,"21.01,105.82"
78,21.0063287,105.8311553,Phố Chùa Bộc
79,21.0080615,105.8272568,Phố Chùa Bộc
80,21.0065914,105.8306082,"21.01,105.83"
81,21.0062207,105.8375751,"21.01,105.84"
82,21.0064716,105.8375874,Ngõ 38 Phương Mai
83,21.0016749,105.8411606,"21.0,105.84"
84,21.0079136,105.835249,"21.01,105.84"
85,21.0046693,105.8267871,"21.0,105.83"
86,21.0052113,105.8255933,Phố Khương Thượng
87,21.0061365,105.8235974,Phố Khương Thượng
88,21.0062834,105.8234419,Phố Khương Thượng
89,21.0063568,105.8261513,"21.01,105.83"
90,21.0067615,105.8231971,Phố Khương Thượng
91,21.0030372,105.8209319,Đường Trường Chinh
92,21.0031275,105.8205363,Đường Trường Chinh
93,21.0031869,105.8207108,"21.0,105.82"
94,21.0033001,105.8207165,"21.0,105.82"
95,21.0033732,105.8207826,Phố Tây Sơn
96,21.0037795,105.8212909,Phố Tây Sơn
97,21.0039796,105.8215448,Ngõ 317 Phố Tây Sơn
98,21.0041975,105.8218166,Phố Tây Sơn
99,21.0042935,105.8219245,Phố Tây Sơn
100,21.0044497,105.8220767,"21.0,105.82"
101,21.0047302,105.8222675,Phố Tây Sơn
102,21.0048548,105.8223217,Phố Tây Sơn
103,21.0092908,105.8244986,Phố Tây Sơn
